AGE,GENDER,CIVIL STATUS,NO DEPENDANTS,MOP,PORTFOLIO AT RISK,CYCLES,CURT/PDNP,BRANCH,YEARS BUS,HOME,YEARS HOME,CF TO LOAN,COLL TO LOAN
44,FEMALE,SEPARATED,1,PDC,0,11,CURT,Laguna,12.0,OWNED,10.0," 637,849.88 "," 350,000.00 "
45,FEMALE,SINGLE,2,PDC,0,3,CURT,Laguna,9.0,OWNED,9.0," 110,470.81 "," 250,833.33 "
33,FEMALE,SINGLE,3,PDC," 7,540.45 ",1,PDNP,Laguna,2.0,BORROWED/SHARED,6.0," 56,975.86 "," 45,000.00 "
45,FEMALE,MARRIED,1,PDC,0,2,CURT,Laguna,4.0,MORTGAGED,4.0," 155,841.34 "," 30,000.00 "
36,FEMALE,SINGLE,3,PDC," 18,438.74 ",2,PDNP,Laguna,3.0,RENTED,4.0," 281,170.25 "," 69,750.04 "
25,MALE,SINGLE,3,PDC," 39,124.12 ",1,PDNP,Laguna,2.0,RENTED,10.0," 235,024.59 "," 195,000.00 "
27,MALE,SINGLE,1,WALK-IN," 61,763.57 ",1,PDNP,Laguna,4.0,RENTED,3.0,                               -  ,                               -  
36,FEMALE,MARRIED,4,PDC," 32,515.79 ",1,PDNP,Laguna,8.0,OWNED,5.0," 193,355.91 "," 273,833.33 "
48,MALE,MARRIED,3,PDC,0,2,CURT,Laguna,3.0,OWNED,3.0," 368,302.41 "," 84,000.00 "
39,FEMALE,MARRIED,4,PDC," 13,538.44 ",1,PDNP,Laguna,5.0,RENTED,19.0," 274,365.20 "," 150,000.00 "
46,MALE,SINGLE,1,PDC,0,5,CURT,Laguna,6.0,OWNED,30.0," 186,415.65 "," 464,556.39 "
38,FEMALE,SINGLE,1,PDC," 57,771.77 ",1,PDNP,Laguna,5.0,RENTED,12.0," 160,673.40 "," 270,750.00 "
32,MALE,SINGLE,0,PDC,0,3,CURT,Laguna,11.0,RENTED,31.0," 501,147.94 "," 186,000.00 "
46,FEMALE,SINGLE,1,PDC,0,2,CURT,Laguna,9.0,RENTED,1.5," 999,535.75 "," 115,800.00 "
55,FEMALE,SEPARATED,3,PDC,0,3,CURT,Laguna,10.0,OWNED,28.0," 452,051.74 "," 100,000.00 "
31,MALE,MARRIED,1,WALK-IN,0,2,CURT,Laguna,7.0,RENTED,4.0," 126,535.90 "," 44,000.00 "
38,MALE,MARRIED,3,PDC,0,5,CURT,Laguna,9.0,MORTGAGED,10.0," 805,212.61 "," 140,000.00 "
51,FEMALE,MARRIED,2,PDC,0,3,CURT,Laguna,11.0,OWNED,50.0," 266,085.69 "," 50,000.00 "
39,FEMALE,MARRIED,4,PDC,0,2,CURT,Laguna,3.0,MORTGAGED,9.0," 504,232.82 "," 190,000.00 "
44,FEMALE,SINGLE,0,PDC," 38,179.44 ",2,PDNP,Laguna,3.0,RENTED,5.0," 117,201.67 ",                               -  
53,FEMALE,SEPARATED,2,WALK-IN,0,4,CURT,Pasig I,21.0,RENTED,21.0," 307,407.65 "," 30,000.00 "
48,FEMALE,MARRIED,2,WALK-IN," 32,543.33 ",3,PDNP,Pasig II,2.0,RENTED,25.0," 318,260.95 "," 50,000.00 "
44,FEMALE,SINGLE,0,WALK-IN,0,7,CURT,Pasig II,11.0,OWNED,23.0," 293,927.46 ",                               -  
48,FEMALE,MARRIED,3,PDC,0,6,CURT,Pasig II,20.0,OWNED,20.0," 314,432.66 "," 90,000.00 "
60,FEMALE,MARRIED,2,PDC,0,23,CURT,Pasig II,7.0,OWNED,8.0," 567,420.78 "," 318,000.00 "
